"11/29/2019, 10:26:58"
Center frequency,20.0971
""
freq,cplx data,fft centered
-121649.3298659732,(25.672913-16.508102j),0.18693973
-121599.31986397279,(24.404526-15.516281j),0.19228792
-121549.30986197239,(23.565292-15.78331j),0.19454698
-121499.299859972,(22.48764-15.668869j),0.18778619
-121449.2898579716,(23.441315-15.630722j),0.18811075
-121399.2798559712,(23.403168-14.247894j),0.21750073
-121349.26985397079,(21.55304-13.67569j),0.20649211
-121299.25985197039,(23.698807-15.916824j),0.24183284
-121249.24984996999,(22.89772-15.106201j),0.23752965
-121199.2398479696,(21.93451-14.715195j),0.21280551
-121149.2298459692,(23.260117-13.2751465j),0.2184804
-121099.21984396879,(22.468567-14.858246j),0.2371183
-121049.20984196839,(23.231506-16.508102j),0.24065666
-120999.19983996799,(22.087097-15.459061j),0.20868987
-120949.1898379676,(23.059845-15.716553j),0.20637022
-120899.1798359672,(21.762848-16.698837j),0.21775702
-120849.1698339668,(19.693375-17.442703j),0.25813153
-120799.15983196639,(23.412704-14.228821j),0.25503516
-120749.14982996599,(23.145676-15.249252j),0.26404113
-120699.1398279656,(25.41542-16.25061j),0.22605929
-120649.1298259652,(23.927689-14.371872j),0.27657577
-120599.1198239648,(21.896362-16.078949j),0.23461455
-120549.10982196439,(22.92633-12.388229j),0.25374797
-120499.09981996399,(22.907257-15.134811j),0.25207686
-120449.0898179636,(22.821426-14.629364j),0.2596926
-120399.0798159632,(21.600723-13.666153j),0.22910298
-120349.0698139628,(24.747849-16.784668j),0.1875929
-120299.05981196239,(22.630692-14.057159j),0.24133076
-120249.04980996199,(21.686554-16.098022j),0.24710645
-120199.0398079616,(23.126602-15.964508j),0.4059793
-120149.0298059612,(21.9059-18.072128j),0.2672942
-120099.0198039608,(23.36502-15.125275j),0.4232093
-120049.00980196039,(23.584366-12.817383j),0.26458573
-119998.99979995999,(23.145676-15.573502j),0.27805632
-119948.9897979596,(21.533966-13.513565j),0.17842558
-119898.9797959592,(21.533966-14.610291j),0.4100591
-119848.9697939588,(24.251938-14.839172j),0.27164146
-119798.95979195839,(21.429062-13.895035j),0.2721233
-119748.94978995799,(19.874573-15.363693j),0.26027098
-119698.93978795758,(22.773743-14.047623j),0.35390893
-119648.9297859572,(22.13478-16.422272j),0.29960188
-119598.9197839568,(22.54486-16.002655j),0.44987413
-119548.90978195639,(22.773743-14.247894j),0.29067895
-119498.89977995599,(22.039413-14.90593j),0.5038738
-119448.88977795558,(21.162033-14.238358j),0.10790496
-119398.8797759552,(23.260117-15.611649j),0.39162967
-119348.8697739548,(23.80371-12.950897j),0.3210258
-119298.85977195439,(22.850037-16.212463j),0.18808405
-119248.84976995399,(22.392273-16.260147j),0.34603724
-119198.83976795358,(21.057129-14.295578j),0.26366583
-119148.8297659532,(23.841858-15.592575j),0.33077428
-119098.8197639528,(20.40863-14.96315j),0.58259326
-119048.80976195239,(20.26558-14.686584j),0.27627555
-118998.79975995199,(23.498535-13.694763j),0.36584544
-118948.78975795158,(21.057129-14.286041j),0.15755256
-118898.7797559512,(21.362305-14.619827j),0.5529857
-118848.7697539508,(21.867752-15.506744j),0.46617717
-118798.75975195039,(22.640228-15.058517j),0.48338425
-118748.74974994999,(22.07756-13.952255j),0.17796387
-118698.73974794958,(20.933151-13.637543j),0.31816345
-118648.7297459492,(20.694733-13.67569j),0.20002273
-118598.7197439488,(19.512177-14.953613j),0.3818949
-118548.70974194839,(21.028519-13.599396j),0.12655522
-118498.69973994799,(20.952225-11.854172j),0.34415329
-118448.68973794758,(21.69609-15.296936j),0.32622987
-118398.6797359472,(23.756027-15.096664j),0.5336828
-118348.6697339468,(21.324158-16.145706j),0.19122669
-118298.65973194639,(21.429062-16.460419j),0.5186487
-118248.64972994599,(22.068024-14.266968j),0.46782178
-118198.63972794559,(20.29419-14.867783j),0.14593464
-118148.62972594518,(19.159317-14.009476j),0.16119385
-118098.6197239448,(19.807816-14.705658j),0.2866019
-118048.60972194439,(20.29419-15.888214j),0.70450795
-117998.59971994399,(20.542145-15.277863j),0.24268843
-117948.58971794359,(21.734238-14.753342j),0.44653967
-117898.57971594318,(21.99173-15.325546j),0.53709424
-117848.5697139428,(23.384094-13.370514j),0.5917515
-117798.55971194239,(22.201538-13.73291j),0.62519914
-117748.54970994199,(21.58165-15.277863j),0.5857021
-117698.53970794159,(22.850037-13.160706j),0.3736496
-117648.52970594118,(20.866394-13.141632j),0.83497053
-117598.5197039408,(19.94133-14.867783j),0.29111096
-117548.50970194039,(21.677017-13.484955j),0.2112198
-117498.49969993999,(20.971298-15.182495j),0.20566547
-117448.48969793959,(20.399094-15.058517j),0.15736453
-117398.47969593918,(21.28601-13.961792j),0.8336042
-117348.4696939388,(19.674301-14.123917j),0.11008387
-117298.45969193839,(21.429062-14.238358j),0.60312575
